strain	virus	date	country	city	type
ESIB_EQA_2025.INFL2.01	influenza	2025-04-01	Polska	Bydgoszcz	H1N1
ESIB_EQA_2025.INFL2.02	influenza	2025-04-01	Polska	Opole	H1N1
ESIB_EQA_2025.INFL2.03	influenza	2025-04-01	Niemcy	Köln	H1N1
ESIB_EQA_2025.INFL2.04	influenza	2025-04-01	Czechy	Pilzno	H1N1
ESIB_EQA_2025.INFL2.05	influenza	2025-04-01	Polska	Kraków	H1N1
ESIB_EQA_2025.INFL2.06	influenza	2025-04-01	Niemcy	Berlin	H1N1
ESIB_EQA_2025.INFL2.07	influenza	2025-04-01	Polska	Szczecin	H1N1
ESIB_EQA_2025.INFL2.08	influenza	2025-04-01	Czechy	Brno	H1N1
ESIB_EQA_2025.INFL2.09	influenza	2025-04-01	Czechy	Pardubice	H1N1
ESIB_EQA_2025.INFL2.10	influenza	2025-04-01	Niemcy	Frankfurt	H1N1
ESIB_EQA_2025.INFL2.11	influenza	2025-04-01	Polska	Łódź	H1N1
ESIB_EQA_2025.INFL2.12	influenza	2025-04-01	Czechy	Praga	H1N1
